AÑO;MES;PROVINCIA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2022;6;Málaga;Europa;Reino Unido;208818,0;1477530,0;6,2
2022;6;Málaga;Europa;República Checa;3231,0;22940,0;7,1
2022;6;Málaga;Europa;República Eslovaca;891,0;6772,0;7,6
2022;6;Málaga;Europa;Rumanía;2858,0;22864,0;8,0
2022;6;Málaga;Europa;Rusia;1140,0;11058,0;9,7
2022;6;Málaga;Europa;Serbia;102,0;663,0;6,5
2022;6;Málaga;Europa;Suecia;25176,0;186302,0;7,4
2022;6;Málaga;Europa;Suiza;9687,0;66840,0;6,9
2022;6;Málaga;Europa;Turquía;421,0;2063,0;4,9
2022;6;Málaga;Oceanía;Australia;448,0;3270,0;7,3
2022;6;Málaga;Oceanía;Nueva Zelanda;78,0;764,0;9,8
2022;6;Málaga;Total;Total;525340,0;3964470,0;7,5
2022;6;Málaga;Total;Total América;21269,0;157573,0;7,4
2022;6;Málaga;Total;Total América del Norte;17263,0;117344,0;6,8
2022;6;Málaga;Total;Total Asia;5251,0;34622,0;6,6
2022;6;Málaga;Total;Total Centroamérica y Caribe;174,0;1570,0;9,0
2022;6;Málaga;Total;Total Europa;489119,0;3715662,0;7,6
2022;6;Málaga;Total;Total Oceanía;529,0;4072,0;7,7
2022;6;Málaga;Total;Total Sudamérica;3832,0;38659,0;10,1
2022;6;Málaga;Total;Total África;9172,0;52541,0;5,7
2022;6;Málaga;África;Argelia;193,0;1177,0;6,1
2022;6;Málaga;África;Egipto;101,0;657,0;6,5
2022;6;Málaga;África;Kenia;30,0;180,0;6,0
2022;6;Málaga;África;Marruecos;8241,0;46150,0;5,6
2022;6;Málaga;África;Nigeria;114,0;855,0;7,5
2022;6;Málaga;África;Senegal;137,0;986,0;7,2
2022;6;Málaga;África;Sudáfrica;131,0;956,0;7,3
2022;6;Málaga;África;Túnez;90,0;531,0;5,9
2022;7;Málaga;América;Argentina;1608,0;19618,0;12,2
2022;7;Málaga;América;Brasil;732,0;7027,0;9,6
2022;7;Málaga;América;Canadá;2931,0;21396,0;7,3
2022;7;Málaga;América;Chile;310,0;2263,0;7,3
2022;7;Málaga;América;Colombia;1085,0;10416,0;9,6
2022;7;Málaga;América;Ecuador;69,0;628,0;9,1
2022;7;Málaga;América;Estados Unidos de América;12126,0;86095,0;7,1
2022;7;Málaga;América;Guatemala;35,0;263,0;7,5
2022;7;Málaga;América;México;939,0;6104,0;6,5
2022;7;Málaga;América;Nicaragua;37,0;370,0;10,0
2022;7;Málaga;América;Panamá;62,0;570,0;9,2
2022;7;Málaga;América;Paraguay;210,0;1680,0;8,0
2022;7;Málaga;América;Perú;155,0;1814,0;11,7
2022;7;Málaga;América;Uruguay;132,0;1478,0;11,2
2022;7;Málaga;América;Venezuela;133,0;1330,0;10,0
2022;7;Málaga;Asia;Arabia Saudí;4054,0;27973,0;6,9
2022;7;Málaga;Asia;Bahréin;333,0;1965,0;5,9
2022;7;Málaga;Asia;China;764,0;5883,0;7,7
2022;7;Málaga;Asia;Corea;267,0;1415,0;5,3
2022;7;Málaga;Asia;Emiratos Árabes Unidos;1698,0;10528,0;6,2
2022;7;Málaga;Asia;Filipinas;492,0;2558,0;5,2
2022;7;Málaga;Asia;India;453,0;2899,0;6,4
2022;7;Málaga;Asia;Indonesia;157,0;1005,0;6,4
2022;7;Málaga;Asia;Iraq;34,0;146,0;4,3
2022;7;Málaga;Asia;Irán;207,0;1656,0;8,0
2022;7;Málaga;Asia;Israel;443,0;3500,0;7,9
2022;7;Málaga;Asia;Japón;102,0;755,0;7,4
2022;7;Málaga;Asia;Jordania;224,0;1590,0;7,1
2022;7;Málaga;Asia;Kazajstán;107,0;1091,0;10,2
2022;7;Málaga;Asia;Kuwait;2226,0;20702,0;9,3
2022;7;Málaga;Asia;Líbano;268,0;1581,0;5,9
2022;7;Málaga;Asia;Malasia;84,0;512,0;6,1
2022;7;Málaga;Asia;Omán;56,0;325,0;5,8
2022;7;Málaga;Asia;Pakistán;44,0;295,0;6,7
2022;7;Málaga;Asia;Qatar;1189,0;7015,0;5,9
2022;7;Málaga;Asia;Singapur;196,0;1588,0;8,1
2022;7;Málaga;Asia;Sri Lanka;36,0;288,0;8,0
2022;7;Málaga;Asia;Tailandia;232,0;1206,0;5,2
2022;7;Málaga;Asia;Vietnam;45,0;338,0;7,5
2022;7;Málaga;Europa;Albania;82,0;615,0;7,5
2022;7;Málaga;Europa;Alemania;26105,0;274103,0;10,5
2022;7;Málaga;Europa;Andorra;136,0;1238,0;9,1
2022;7;Málaga;Europa;Armenia;42,0;260,0;6,2
2022;7;Málaga;Europa;Austria;4724,0;38264,0;8,1
2022;7;Málaga;Europa;Belarús;166,0;1444,0;8,7
2022;7;Málaga;Europa;Bulgaria;1462,0;11988,0;8,2
2022;7;Málaga;Europa;Bélgica;34051,0;275813,0;8,1
2022;7;Málaga;Europa;Chipre;68,0;442,0;6,5
2022;7;Málaga;Europa;Croacia;225,0;1440,0;6,4
2022;7;Málaga;Europa;Dinamarca;29669,0;249220,0;8,4
2022;7;Málaga;Europa;Eslovenia;320,0;2432,0;7,6
2022;7;Málaga;Europa;Estonia;1560,0;14352,0;9,2
2022;7;Málaga;Europa;Finlandia;10156,0;93435,0;9,2
2022;7;Málaga;Europa;Francia;40943,0;327544,0;8,0
2022;7;Málaga;Europa;Georgia;124,0;732,0;5,9
2022;7;Málaga;Europa;Grecia;585,0;3920,0;6,7
2022;7;Málaga;Europa;Hungría;2932,0;23163,0;7,9
2022;7;Málaga;Europa;Irlanda;37688,0;320348,0;8,5
2022;7;Málaga;Europa;Islandia;525,0;4883,0;9,3
2022;7;Málaga;Europa;Italia;12912,0;90384,0;7,0
2022;7;Málaga;Europa;Letonia;1674,0;17410,0;10,4
2022;7;Málaga;Europa;Liechtenstein;344,0;3406,0;9,9
2022;7;Málaga;Europa;Lituania;1270,0;9779,0;7,7
